[STRING]
String = 60000,test
String = 61932,堅執相抗於汝絕無益處，#b03#必知保得性命之理，且莫要一時糊塗，卻喪性命。
String = 61933,將軍之神威都已是昔日之事，現時汝不過是一待死囚徒，如今吾主#a04#大人願好意相留，將軍不從，莫非意欲命絕於此？
String = 61934,#b03#亦是識得大體之人，當知汝今日所處之境，吾勸將軍早日投降吾主，以謀生路。
String = 61935,吾主好意願得將軍相輔，若是不從，主公一怒之下取汝性命，#b03#怕要後悔莫及，好自為之吧！
String = 61936,#a03#實不願污我寶劍，生死只在汝一念之間，汝且三思而行。
String = 61937,#b03#若是仍想見到明日的太陽，今日便莫再強橫。
String = 61938,#a03#不願今日成汝之忌日，若執意頑抗，在下來年必為將軍添一柱香，汝可放心。
String = 61939,#b03#乃是聰明之人，今日不降便只有死路一條，汝可要想清楚。
String = 61940,主公之意已明，今日#b03#若不降便賜汝一死，絕無姑息，#b03#究竟願死願降？
String = 61941,#b03#不降便死在今日，絕無第二次機會，莫怪我#a02#沒有告訴過你。
String = 61942,汝早日投降便是，莫要浪費我的時間。
String = 61943,來人！給我行刑，讓#b02#知道知道與我軍為敵的下場。
String = 61944,給我好生教訓教訓#b02#，讓其後悔未早日歸降我軍。
String = 61945,#b02#向不把吾主放在眼中，吾人深恨以久，今日定要好好懲戒一番。
String = 61946,哼！#b02#今日落入我軍手中，定要讓你永遠記住不尊吾主的教訓。
String = 61947,哈哈哈！你#b02#落入我手中，我豈能輕易放過這個大好機會，吾便讓你知道何為求死不能。
String = 61948,往日不可一世的樣子著實可惡，我要好好欣賞大名鼎鼎的#b02#今日在吾面前下跪求饒的模樣。
String = 61949,#b02#殺我無數將士，今日在下要讓你一刀一刀替他們償還血債，哈哈哈哈哈！
String = 61950,慢慢享受我軍款待吧！來人！用刑！
String = 61951,入我軍陣營，富貴功名垂手可得，眼前金銀錢帛不過九牛一毛，吾人何忍見#b03#老死於暗牢之中，請慎重考慮一番。
String = 61952,#b02#將軍何不加入我軍共圖天下，將來財富必萬倍於吾之薄禮，不知意下如何？
String = 61953,眼前金銀不成敬意，只要#b03#歸順我軍，立即還汝自由，慎重考慮吧！
String = 61954,這錢銀是我軍小小心意，汝若歸順，金銀財寶當可享用不盡，慎重考慮吧！
String = 61955,眼前銀兩不過區區小數，若歸我軍，不僅可免監牢苦刑，榮華富貴更是享用不盡，請三思！
String = 61956,請#b02#將軍笑納薄禮，但若仍不降，恐怕也沒命享用，望將軍多加斟酌。
String = 61957,若願為吾效力，所得何只眼前薄禮，否則冤死獄中豈不可惜，望汝善加考慮。
String = 61958,加入我軍，功名利祿垂手可得，眼前的金銀不過前禮而已。
String = 61959,說服人才
String = 61960,本季已無人才可進行說服。
String = 61961,稟主公，本季可遊說的有才之士皆已進行說服，請主公明察。
String = 61962,自動說服完成
String = 61963,對登錄有案的所有人才進行說服，%s願歸我軍。
String = 61964,我軍#a02#對#b02#進行說服。
String = 61965,#b03#乃是聰明之人，今日天下之勢汝必知曉，不需在下多言，將軍定願加入我方才是。
String = 61966,我方軍威浩蕩，將軍今已得見，#b03#乃神勇之人，如何不擇良木而棲，扶助明主？
String = 61967,以#a04#大人今日威勢，欲得一將絕非難事，汝乃識時務之人，還望三思，勿負主公一番美意。
String = 61968,#a04#大人軍勢如何，將軍必有耳聞，現主公願相請將軍共成大事，相信汝必不負吾主之請。
String = 61969,以我軍之勢，何愁無能人相輔，今吾主#a04#大人欲相請出仕，汝最好相從，莫要不識好歹。
String = 61970,吾主#a04#大人使我前來相請，不知#b03#意下如何？得我主垂青，還沒人敢不從，你最好也放聰明一點才好。
String = 61971,主公聽聞#b02#在此，望得相助，特遣本將前來一問，汝若想保全性命，最好相允，否則恐怕後果難料。
String = 61972,吾特來為主公請將軍輔佐，將軍莫使#a02#空手而歸，要知吾取汝首級實乃易如反掌。
String = 61973,#a04#大人向來仰慕將軍才德，望#b02#將軍審慎考慮與我等一同輔佐主公，共成大事。
String = 61974,料想#b02#將軍亦是身懷抱負之人，若願歸吾主#a04#大人帳下，正可一展長才。
String = 61975,吾主#a04#大人乃愛將之人，此乃揚名立業之機，望將軍考慮吾一番肺腑之言。
String = 61976,#a02#知將軍絕非平庸之輩，今吾主#a04#大人使吾相請將軍，將軍豈可錯過此建功立業的絕佳之機？
String = 61977,吾主#a04#大人今使在下相請將軍，若汝應允，何愁不得榮華富貴？
String = 61978,吾觀將軍亦是明白之人，實不相瞞，跟隨吾主榮華富貴享之不盡，如此美事，#b02#將軍如何不從？
String = 61979,吾主今欲請將軍相輔，請慎重考慮。若將軍肯從，主公必許以封官厚禮，榮華富貴自不在話下。
String = 61980,今天下大勢，乃歸吾主#a04#大人，若能加入麾下莫不重用有加，此等美事將軍如何相拒？
String = 61981,眼前金銀錢帛可表我軍愛才之意，請慎重考慮。
String = 61982,金銀珠寶有如糞土，將相良才方為我軍所重，#b03#何不與我等共成大事？
String = 61983,縱觀局勢，天下乃我軍囊中之物，眼前金銀不成敬意，望汝出仕我軍，共圖大計。
String = 61984,若出仕我軍，所得金銀豈只眼前百倍，請慎重考慮一番。
String = 61985,眼前銀兩不過區區小數，若願出仕我軍，榮華富貴何只百倍於此，請三思。
String = 61986,人生在世，所求不過名利而已，請將軍笑納薄禮，歸順吾主一事， 望汝多加斟酌。
String = 61987,吾主賞賜向來大方，區區薄禮請#b03#笑納，若願為我軍效力，榮華富貴更是享用不盡，望汝善加考慮。
String = 61988,出仕我軍，榮華富貴不享用不盡，眼前金銀實不足道，請詳加考慮。
String = 61989,設立儲君
String = 61990,儲君就任未滿一年，無法進行更換
String = 61991,是否確定冊立《玩家武將姓名》為儲君
String = 61992,謝主公大恩，末將必全力以赴！
String = 61993,末將願竭盡所能，為主公分憂！
String = 61994,末將何德何能居此要位，縱粉身碎骨亦將完成主公所託！！
String = 61995,屬下無才無德，退位讓賢實屬應該。
String = 61996,屬下難當此位，自當讓賢，主公之決斷，末將自當遵行。
String = 61997,儲君之位末將實難擔當，主公撤換之舉，末將絕無怨言。
String = 61998,設立儲君 #a03#
String = 61999,撤換儲君 #a03#
String = 62003,#a02#受封為%s。
String = 62004,#a03#定為我軍立下大功，赴湯蹈火再所不辭。
String = 62005,#a03#何德何能受此重託，吾定盡全力，以圖大計。
String = 62006,若為我軍功業，#a03#萬死不辭。
String = 62007,#a03#粉身碎骨亦將為我軍奪得天下。
String = 62008,我軍之大業，吾人誓死亦將達成。
String = 62009,#a03#受此大位，定不負眾人期望。
String = 62010,#a03#擔當此位，必竭盡全力，建功立業。
String = 62011,#a02#受我軍倚重，定要為我軍贏得更多的土地和牛羊。
String = 62012,我軍猶如草原勁風，必將席捲天下。
String = 62013,我軍對我如此，#a02#將如虎豹，殺盡我軍仇敵。
String = 62014,我軍以#a02#為重，#a02#亦當以我軍為重，必不負眾人厚望。
String = 62015,能得我軍如此器重，此乃武士之光榮。
String = 62016,縱使粉身碎骨，#a02#也要令我軍稱霸天下。
String = 62017,眾人如此信任#a02#，吾定不計此女兒之身，與我軍弟兄共成大業。
String = 62018,#a02#未想我軍願予我一婦人如此重任，吾願為我軍大業萬死不辭。
String = 62019,我軍如此看得起我，實在感激。
String = 62020,有我#a02#，我軍必可一統天下，成萬世之業。
String = 62021,#a02#得此位，實乃萬幸。
String = 62022,#a03#定為我軍赴湯蹈火。
String = 62023,#a03#多謝我軍抬舉。
String = 62024,#a03#生是我軍之人，死是我軍之鬼。
String = 62025,我軍合吾人之力，定可將賊人剿滅，一統天下。
String = 62026,我們是最偉大的軍隊，我將帶領我軍踏遍太陽光輝照耀的每一寸土地。
String = 62027,我軍如此看重#a02#，草原的子民永不會背叛。
String = 62028,我軍猶如密林猛虎，乃威武之王者，必得天下能人之愛戴。
String = 62029,#a02#以我軍為榮，得天下者非我軍莫屬，。
String = 62030,一介武士能得此權位，#a02#深感榮幸。
String = 62031,我軍貫徹武士之道，必定可得到天下百姓的愛戴，霸權指日可待。
String = 62032,小女子得此權位，必為我軍竭盡心力。
String = 62033,小女子受之有愧，#a02#粉身碎骨亦將為我軍掃平逆賊。
String = 62034,自動冊封%s官職
String = 62035,#a03#定為我軍立下大功，赴湯蹈火再所不辭。
String = 62036,#a03#何德何能受此重託，吾定盡全力，以圖大計。
String = 62037,若為我軍功業，#a03#萬死不辭。
String = 62038,#a03#粉身碎骨亦將為我軍奪得天下。
String = 62039,我軍之大業，吾人誓死亦將達成。
String = 62049,跟事件武將打 戰前喊話 
String = 62050,將士們！建功立業的時刻到了，全軍衝鋒！
String = 62051,最後的勝利就在我們手中，大家衝啊！
String = 62052,退此一步，即無死所，殺！殺！殺！
String = 62053,揚名立萬在今朝，大家衝啊！
String = 62054,為了我軍的霸業，將士們衝啊！
String = 62055,衝啊！殲滅無道逆賊！
String = 62056,勇士們！如草原的狂風一般襲向敵軍吧！
String = 62057,戰神庇祐我軍！勇士們衝啊！
String = 62058,衝啊！殺光軟弱的敵人吧！
String = 62059,虎豹般的健兒們！衝啊！
String = 62060,讓鬥魂燃燒吧！全軍衝鋒！
String = 62061,全軍衝鋒！我軍是無敵的！
String = 62062,將士聽令！全軍衝鋒！
String = 62063,衝啊！此戰若勝，本姑娘定以佳餚美酒犒賞三軍！
String = 62064,將士們！今天我們要大開殺戒！
String = 62065,將士們！全軍衝鋒！
String = 62066,殺！殺！把他們殺個落花流水！
String = 62067,全部給我上！抗命者殺無赦！
String = 62068,將士們，殺得他們片甲不留！
String = 62069,打倒眼前的阻礙吧！
String = 62070,大草原的勇士們，殺啊！
String = 62071,剷除我軍之敵，全軍衝鋒！
String = 62072,兄弟們！殺啊！
String = 62073,兄弟們！殺他們血流成河！
String = 62074,武士們！討伐逆賊吧！
String = 62075,全軍衝鋒！我軍必勝！
String = 62076,全軍衝鋒！後退者，本姑娘定不輕饒！
String = 62077,上啊！教他們知道本姑娘調兵遣將的厲害！
String = 62098,AI外交對話
String = 62099,贈送禮物
String = 62100,#b04#軍 #b02# 攜帶禮金 %d兩，前來贈禮。
String = 62101,#b04#奉#b02#之命前來贈禮，我軍當如何處置？
String = 62102,#b04#麾下武將#b02#送來禮金，我軍該當如何？
String = 62103,#b04#派遣#b02#前來拜訪，欲獻禮於我軍。
String = 62104,#b04#遣#b02#為使前來贈禮，我軍該當如何？
String = 62105,#b04#備禮品，遣手下#b02#前來進獻。
String = 62106,我軍接受#b02#贈禮，禮金納入%s。\n
String = 62107,我方拒絕#b02#贈禮。\n
String = 62108,#a03#並非貪圖禮物，只是#b04#大人如此盛意，在下只得拜領。將軍遠道而來，請受我軍款待。
String = 62109,#b04#大人贈禮美意，#a03#不忍相拒，請將軍在此稍事休息，我軍當好生款待。
String = 62110,#b04#大人此禮#a03#拜納，#b02#將軍一路辛苦，吾已略備酒席，還望將軍賞光。
String = 62111,#b04#大人盛意吾已拜納，我軍當款待將軍，以表謝意。
String = 62112,#a03#願款待將軍，汝可回稟#b04#大人，我軍拜納贈禮。
String = 62113,區區薄禮，蒙#b04#大人不棄，望兩軍情誼可更加深厚，也不枉吾主一番苦心。
String = 62114,如此禮遇來使，#b04#大人乃明主也，一番盛意#a03#定回報吾主。
String = 62115,#b04#大人客氣，#a03#理當為吾主傳此美意。
String = 62116,多謝#b03#大人一番美意。
String = 62117,#a03#恭敬不如從命。
String = 62118,常言道無功不受祿，贈禮恕#a03#不能收下，#b02#將軍請速離境，恕我軍不送。
String = 62119,多謝將軍一路辛苦送來贈禮，可惜#a03#不能收受此禮，將軍請回，代吾謝過貴主。
String = 62120,#a03#並非貪財之輩，請將軍收回禮物，速速離境。
String = 62121,我軍不缺金銀財寶，將軍請歸寨報與#b04#大人，一番好意我軍心領。
String = 62122,#b02#速離吾境，兩軍交戰豈有贈禮之事！
String = 62123,#b05#大人若堅執不受，吾也不便勉強，還望大人明瞭吾主一片美意，#a03#告辭。
String = 62124,吾主一番美意，#b04#大人堅執不受甚為可惜，#a02#打擾了。
String = 62125,#b05#大人枉費吾主一番苦心，在下告退。
String = 62126,#b05#大人既拒人於千里，#a03#告辭。
String = 62127,#b05#大人不受獻禮，莫非意欲與我軍為敵？
String = 62128,#b04#軍 #b02# 前來遊說關說。
String = 62129,稟主公，#b04#命#b02#前來遊說，主公以為如何？
String = 62130,啟稟主公，#b04#麾下#b02#欲遊說進言，現正於門外等候。
String = 62131,稟主公，敵將#b02#奉#b04#之命來獻說詞。
String = 62132,啟稟主公，#b04#欲與主公通好，遣#b02#前來遊說。
String = 62133,主公可願接見#b04#軍使者#b02#，聞其遊說之詞？
String = 62134,我軍接見#b04#軍特使#b02#。\n
String = 62135,我方拒絕接見#b04#軍特使#b02#。\n
String = 62136,#b05#大人當世豪傑，人所敬仰，吾主#a04#亦英雄之人，願與大人通友好之意。
String = 62137,#b05#大人乃成大事之人，必知你我兩軍友好有百益而無一害，故#a03#今日特來面陳交好之意。
String = 62138,吾主敬#b05#大人仁義行徑，特遣#a02#來傳達友好之意，未知大人可否接受？
String = 62139,吾奉#a04#大人之命特來相告友好之意，不知#b05#大人可有同感？
String = 62140,多一個朋友，少一個敵人，雙方均有益處，吾主之意，#b04#大人可明瞭？
String = 62141,#b03#之言與吾人所想不謀而合，兩國宜共圖大計。
String = 62142,將軍所言極是，#a03#亦有此想。
String = 62143,此計甚妙，有勞#b02#將軍回報，我軍正有此意。
String = 62144,#b04#大人的好意吾豈不知，今後兩國可禮尚往來也。
String = 62145,有利無害之事吾如何不從，多謝#b05#大人美意。
String = 62146,多謝#b02#將軍遠來通傳，容吾考慮，將軍請回。
String = 62147,貴主美意#a03#心領，只可惜吾未有此打算，汝請先回。
String = 62148,將軍請回，此事#a03#自有主張。
String = 62149,#b04#欲與我軍聯合，此事斷不可行，恕#a03#不能相從，汝可速回。
String = 62150,道不同不相與謀，#b02#將軍請自回，恕不相送。
String = 62151,#a03#告辭，還望#b05#大人勿輕下定奪，好生思量一番。
String = 62152,#b05#大人若執意相拒，#a03#亦無能為力，告辭。
String = 62153,大人若無此意，#a03#當回報吾主，多有打擾，告辭。
String = 62154,向聞#b05#大人賢名，未想卻是如此無謀之人，在下告辭。
String = 62155,#b04#何太無禮？來日必悔不當初。
String = 62156,離間武將
String = 62157,#b04#軍 #b02# 離間我軍武將 #a02#成功。\n
String = 62158,#a02#忠誠下降%d
String = 62160,#b04#軍 #b02# 離間我軍武將 #a02#失敗。\n
String = 62161,#a02#忠誠上升%d\n
String = 62162,我軍與#b04#軍外交下降%d
String = 62163,#a03#與我日漸疏遠，難道已生反叛之意？
String = 62164,#a03#言行較之往日為不同，莫非懷有異心？
String = 62165,久未聞#a03#進言，似有疏遠之意。
String = 62166,#a03#態度有異，莫非有人在其耳邊離間慫恿？
String = 62167,近日傳聞#a03#似有異心，恐絕非捕風捉影之言。
String = 62168,啟稟主公，#b04#遣#b02#前來策反末將，已為末將驅離。
String = 62169,#b04#手下#b02#欲離間吾與主公君臣之情，實可惡至極！
String = 62170,啟稟主公，#b04#麾下#b02#離間末將未果，已匆匆逃離。
String = 62171,啟稟主公，#b04#手下#b02#進讒言欲使吾叛離主公，已為末將驅離。
String = 62172,啟稟主公，#b04#命#b02#來此行離間之計，事跡敗露，已逃離我境。
String = 62173,散撥謠言
String = 62174,#b04#軍 #b02#於我軍轄地 %s 散播謠言。\n
String = 62175,城內武將忠誠下降 %d\n
String = 62176,民心下降 %d
String = 62177,%s太守 #a02#成功阻止#b04#軍 #b02#散播謠言。\n
String = 62180,吾人轄下%s日前謠言四起，將士、百姓鎮日惶惶不安，恐怕是他方奸細陰謀所致。
String = 62181,近日謠言四起，%s百姓民心動搖，吾人不可不慎。
String = 62182,敵將於我轄地%s散播流言，此地將士皆信其言，不似往日忠誠。
String = 62183,%s人心大亂，必是敵將在此地煽動人心所致。
String = 62184,吾人轄地%s恐有奸細散播流言亂我軍心，不可不防。
String = 62185,#b04#麾下#b02#竟於%s散播謠言，妄圖亂我軍心，有我#a02#治理此地，奸計休想得逞！
String = 62186,#b04#膽敢遣#b02#來%s造謠生事，有我#a02#坐鎮，奸計豈有成功之理？
String = 62187,#b04#手下#b02#竟敢在%s散播謠言，幸虧吾人識破奸計，方保轄地安定。
String = 62188,吾人識破#b05#手下的狗賊#b03#造謠之計，轄地%s平安無虞。
String = 62189,#b04#軍武將#b02#造謠之計敗露，已遭吾人驅離，轄地%s幸未受害。
String = 62376,我軍#a02#軍團開抵敵城寨。
String = 62377,我軍抵達《AI建物名》，是否確定進攻？
String = 62378,我軍#a02#軍團開抵《AI建物名》。
String = 62379,《AI建物名》乃我方同盟#b04#軍統轄，是否確定進攻？
String = 62380,我軍#a02#軍團遭遇#b04#軍#b02#軍團。
String = 62381,我軍遭遇#b02#軍團，是否確定進攻？
String = 62382,我軍《玩家主將姓名》軍團遭遇#b04#軍#b02#軍團。
String = 62383,#b02#軍團乃我軍同盟#b04#麾下，是否確定進攻？
String = 62384,我軍《玩家主將姓名》軍團與#b04#軍#b02#軍團展開戰鬥。
String = 62385,反賊#b02#膽敢頑抗，還不下馬受縛？
String = 62386,大膽叛賊！速速棄械出降！！
String = 62387,大將#a02#在此，逆賊降則免死，休得頑抗！
String = 62388,逆賊#b02#！#a02#今日必教你含恨！
String = 62389,大將#a02#駕到！汝等反賊焉敢放肆！
String = 62390,我軍#a02#軍團與#a04#軍#b02#軍團展開戰鬥。
String = 62391,小賊#b02#休逃，速速下馬受縛！！
String = 62392,小賊#b02#，今日休想逃跑！！
String = 62393,放汝生路，何異縱虎歸山？#a02#今日要斬草除根！
String = 62394,無膽鼠輩，往哪裡逃？
String = 62395,三姓家奴！今日汝等插翅難飛！
String = 62396,#a04#軍#b02#軍團襲擊《玩家建物名》。
String = 62397,逆賊大膽！！安敢犯我城寨？！
String = 62398,無道惡賊膽敢犯吾轄地，我#a02#必教汝全軍覆沒！！
String = 62399,小賊放肆！我定要汝等來得、去不得！！
String = 62400,烏合之眾焉敢犯我轄地，簡直自不量力！！
String = 62401,無能鼠輩也敢襲我轄地，實在是自尋死路！！
String = 62402,我軍#a02#軍團進攻《玩家建物名》。
String = 62403,逆賊大膽！！安敢犯我城寨？！
String = 62404,無道惡賊膽敢犯吾轄地，我#a02#必教汝全軍覆沒！！
String = 62405,小賊放肆！我定要汝等來得、去不得！！
String = 62406,烏合之眾焉敢犯我轄地，簡直自不量力！！
String = 62407,無能鼠輩也敢襲我轄地，實在是自尋死路！！
String = 62408,《原AI君主姓名》身亡，#b04#後繼其位。
String = 62409,《原AI君主姓名》大人的重責大任，就由我#b04#一肩承擔。
String = 62410,《原AI君主姓名》大人的遺志，就由我#b04#繼承。
String = 62411,《原AI君主姓名》大人在天之靈必祐我#b04#成就大業。
String = 62412,《原AI君主姓名》身陷囹圄，#b04#後繼其位。
String = 62413,《原AI君主姓名》大人的仇，就由我#b04#來報。
String = 62414,《原AI君主姓名》大人所受的屈辱，我#b04#必定討回。
String = 62415,《原AI君主姓名》大人身陷敵營，我#b04#必往營救。
String = 62416,《原玩家君主姓名》不幸身亡，儲君#a04#後繼其位。
String = 62417,主公之遺志，吾粉身碎骨亦將貫徹！！
String = 62418,吾人必手刃奸賊，以慰《原AI君主姓名》大人在天之靈。
String = 62419,無道惡賊竟敢如此，我#a04#必叫汝等血債血償！！
String = 62420,主公未成之大業，必將於吾#a04#手中達成！！
String = 62421,吾將化悲憤為力量，誓死達成《原AI君主姓名》大人未竟之志！！
String = 62422,吾#a04#承繼主公大位，誓將奪得天下霸權！！
String = 62423,《原玩家君主姓名》遭到俘虜，儲君#a04#後繼其位。
String = 62424,主公之仇，我#a04#必叫賊人百倍以償！！
String = 62425,就算天涯海角，我也要設法營救《原玩家君主姓名》大人。
String = 62426,賊人竟敢擄走主公，吾#a04#必營救之！！
String = 62427,《原玩家君主姓名》大人為賊所困，吾人只得取而代之！！
String = 62428,主公身陷敵營，我#a04#縱粉身碎骨也要設法解救！！
String = 62429,吾人承繼主公大位，誓將奪得天下霸權！！
String = 62430,傳聞某勢力完全消滅，退出天下霸權之爭！！
String = 62431,我竟落到這般田地，難道真是天亡我也？
String = 62432,天啊～難道我非是天命所歸嗎？
String = 62433,受罪於天，無可救。我承認失敗！
String = 62434,難道我真無帝王之相？
String = 62435,時不我予，吾人含恨啊！！
String = 62436,實行%s季內政。
String = 62437,%s已至，當整頓軍務內政以正國業。
String = 62438,%s已至，當決斷內政諸事，以安軍心。
String = 62439,%s已到，須處置大小軍務，以利我軍戰事。
String = 62440,春季
String = 62441,夏季
String = 62442,秋季
String = 62443,冬季
String = 62444,春季
String = 62445,夏季
String = 62446,秋季
String = 62447,冬季
String = 62451,完成全國統一大業
String = 62452,歷經一翻艱辛奮戰，吾人終於平定這亂世戰火，願神州大地的炎黃子孫從此安居樂業，兵燹之禍永不再臨。
String = 62453,全滅
String = 62455,使用者合約
String = 62456,本軟體《三國群英傳V》及本說明書，均受著作權所保護。
String = 62458,    除下列明文授權項目外，非經本公司書面同意，不得以任何形式
String = 62459,、任何文字作局部或全部之翻印、仿製、轉載或修改，違者依法追究
String = 62460,。本軟體及包裝所使用之品牌、產品名稱及螢幕畫面，有關之商標及
String = 62461,著作皆屬各該公司所有，在此引用僅供參考。
String = 62463,授權項目
String = 62464,1. 本公司授權台端於單一電腦使用本軟體，不得拷貝至其他電腦。
String = 62465,惟合法持有者除所有使用之固定電腦外，另一部自行用可攜式，
String = 62466,則本公司允許於該固定電腦及可攜式電腦中各一份本程式軟體。
String = 62468,2為備份及儲存之目的，本公司允許台端可複製一份本程式軟體。
String = 62469,惟只允許使用原版光碟或複製之該份光碟於一部電腦上。
String = 62470,使用係指將本軟體載入隨機處理記憶體，硬體或其他儲存裝置。
String = 62472,禁止項目
String = 62473,1. 於任何類型網路或多使用者環境使用本軟體。除非經本公司所授
String = 62474,權之多人使用版本之本軟體，並取得各網路終端機授權使用合法
String = 62475,書。使用係指將本軟體載入隨機處理記憶體，硬體或其他儲存裝
String = 62476,置。
String = 62478,2. 非經本公司書面同意與授權，禁止出租、出借、轉售、散佈及公
String = 62479,開展售或其他足以侵害本公司權益之行為。
String = 62481,3. 禁止對本程式進行任何修改、反編(decompile)、軟體轉換程
String = 62482,轉(reverse-enginceer the software)、反式組譯
String = 62483,(disassrmble)或任何更改原始程式設定系統上的鎖定與解除
String = 62484,鎖定。
String = 62486,4. 禁止遮掉、移開或去除本軟體之版權所有及註冊商標或文字說明
String = 62487,。
String = 62551,#b04#軍#b02#軍團襲擊 %s。
String = 62552,逆賊大膽！！安敢犯我城寨？！
String = 62553,無道惡賊膽敢犯吾轄地，我#a02#必教汝全軍覆沒！！
String = 62554,小賊放肆！我定要汝等來得、去不得！！
String = 62555,烏合之眾焉敢犯我轄地，簡直自不量力！！
String = 62556,無能鼠輩也敢襲我轄地，實在是自尋死路！！
String = 62557,#a04#軍#a02#軍團襲擊我軍#b02#軍團。
String = 62558,小賊#b02#！還不下馬受縛！
String = 62559,逆賊#b02#！今日教你知道我#a02#的厲害！！
String = 62560,我乃#a04#麾下大將#a02#！#b02#小賊何不早降？
String = 62561,釋放
String = 62562,斬首
String = 62563,投降
String = 62564,收押
String = 62581,#b02#行蹤不明，#a02#後繼其位。
String = 62582,#b02#大人的重責大任，就由我#a02#一肩承擔。
String = 62583,#b02#大人的雄心壯志，就由我#a02#繼承。
String = 62584,我#a02#必興盛我軍，不枉主公栽培之恩。
String = 62585,#b02#行蹤不明，儲君#a02#後繼其位。
String = 62586,主公之大志，吾粉身碎骨亦將貫徹！！
String = 62587,吾人必手刃奸賊，為#b02#雪此大辱。
String = 62588,無道惡賊竟敢如此，我#a02#必叫汝等付出代價！！
String = 62589,主公未成之大業，必將於我#a02#手中達成！！
String = 62590,吾將誓死達成#b02#大人未竟之志！！
String = 62591,吾#a02#承繼主公大位，誓將奪得天下霸權！！
String = 62601,#a02#勢力完全消滅，退出天下霸權之爭！！
String = 62602,我#a02#竟落到這般田地，難道真是天亡我也？
String = 62603,天啊～難道我#a02#非是天命所歸嗎？
String = 62604,受罪於天，無可救。我#a02#承認失敗！
String = 62605,難道#a03#真無帝王之相？
String = 62606,時不我予，#a03#含恨啊！！
String = 62700,派出一組弓箭隊和三台投石車，進行炬石和火箭的聯合射擊。
String = 62701,派出三台投石車對敵軍投擲特製炬石，在彈著地點產生赤焰燒傷敵軍。
String = 62702,派出一組弓箭隊和二台弩車，進行投射、直射兩種箭矢的聯合射擊。
String = 62703,推出一具特製的火輪，輾死路徑上的敵人，並產生赤焰燒傷敵軍。
String = 62704,將四顆滾石推入敵陣傷敵，同時引發石柱破出而出殺傷敵軍。
String = 62705,派出三台投石車對敵軍投擲特製炬石，在彈著地點產生炎牆燒傷敵軍。
String = 62706,發動陷阱，由地面刺出長茅及石柱殺傷敵軍。
String = 62707,同時發動赤焰及水柱陷阱，對敵軍造成傷害。
String = 62708,派出四台發射車，以特製的神鳶對敵軍發動自爆攻擊。
String = 62709,驅趕花豹、火牛等猛獸，對敵軍進行突擊。
String = 62710,以一道劍氣直取敵將，飛散的月形衝擊波將同時殺傷四周敵軍。
String = 62711,同時召來風龍及火龍，以颶風、火焰殺傷敵軍。
String = 62712,同時召來地龍及水龍，以地震、水流殺傷敵軍。
String = 62713,派出兩隊忍者，進行炸裂彈及飛鏢的聯合射擊。
String = 62714,派出兩名忍者，以土遁忍術潛入敵軍，同時發射飛鏢及炸裂彈。
String = 62715,釋放出兩把能自行索敵、攻擊的心劍，心劍消失時將產生旋轉的火石殺傷敵軍。
String = 62716,以術法在敵陣發動太極火陣，對接觸陣勢的敵軍造成傷害。
String = 62717,以夾帶旋轉火石的八卦靈劍，對二個方向的敵軍發動攻勢。
String = 62718,開啟冥府洞穴，將敵兵吸入，同時召來四名屍鬼襲擊敵軍。
String = 62719,同時派出二台井闌及二台炎獸，對敵軍進行鎮壓。
String = 62720,鎖定敵將，以落月弓、落日弓同時攻擊。
String = 62721,召喚一把神劍，以挾帶蓮華的劍雨襲殺敵軍。
String = 62722,回復所有施術武將少許體力，並以妖盾加以保護。
String = 62723,號令天雷猛轟敵將，同時以天雷餘威殺傷周圍敵軍。
String = 62724,以術法引來狂風、雷電，對敵軍造成重大傷亡。
String = 62725,命令埋伏於我軍及敵軍後方，總數四十名的伏兵同時殺出，令敵軍措手不及。
String = 62726,以充滿暴戾之氣的凶惡鬼刀攻擊敵將，並殺傷路徑上的敵軍。
String = 62727,派出兩台特製的衝車突入敵陣，同時發射雷電傷敵。
String = 62728,融合聖劍、魔劍，大幅提高所有施術武將的攻擊力，傷軍時可吸取體力。
String = 62729,以符咒化為吸引敵軍注意的符兵，符兵消失時，將產生兩個八卦刀輪陣殺傷敵軍。
String = 62733,派出二組弓箭隊和五台投石車，進行炬石和火箭的聯合射擊。
String = 62734,派出五台投石車對敵軍投擲特製炬石，在彈著地點產生赤焰燒傷敵軍。
String = 62735,派出二組弓箭隊和四台弩車，進行投射、直射兩種箭矢的聯合射擊。
String = 62736,推出二具特製的火輪，輾死路徑上的敵人，並產生赤焰燒傷敵軍。
String = 62737,將六顆滾石推入敵陣傷敵，同時引發石柱破土而出殺傷敵軍。
String = 62738,派出五台投石車對敵軍投擲特製炬石，在彈著地點產生炎牆燒傷敵軍。
String = 62739,發動陷阱，由地面刺出許多長茅及石柱殺傷敵軍。
String = 62740,派出六台發射車，以特製的神鳶對敵軍發動自爆攻擊。
String = 62741,驅趕花豹、猛虎、火牛等猛獸，對敵軍進行突擊。
String = 62742,以旋月劍氣直取敵將，殺傷路徑上敵軍，同時飛散出六道衝擊波。
String = 62743,同時召來風龍及火龍，以強烈的颶風、火焰殺傷敵軍。
String = 62744,同時召來地龍及水龍，以強烈的地震、水流殺傷敵軍。
String = 62745,派出四隊忍者，進行炸裂彈及飛鏢的聯合射擊。
