[STRING]
String = 60000,阵型说明(自设武将)
String = 63281,好久没尝到人肉的滋味啦！嘿嘿！
String = 63282,妖兽 - 巨雪熊
String = 63283,吼～～～～～～～～～～
String = 63284,妖兽 - 太岁
String = 63285,嘶～～～～～～～～～
String = 63286,妖兽 - 赤蟒
String = 63287,嘶～～～～～～～～～
String = 63288,妖兽 - 黑玉妖蟒
String = 63289,嘶～～～～～～～～～
String = 63290,妖兽 - 五彩神石
String = 63291,．．．．．．．．．．
String = 63292,千人战 - 战胜喊话
String = 63293,山寨主将 - 于氐根
String = 63294,哈哈！强弱如此悬殊，何必自取其辱呢？
String = 63295,我于氐根又大获全胜啦！！
String = 63296,软弱下将，果然只有这点功夫而已！
String = 63297,黄沙寨今天扬名立威啊！哇哈哈！！
String = 63298,这种脓包，再多我也不怕，哼！
String = 63299,山寨主将 - 难楼
String = 63300,难楼的本事还不只如此而已，只是小试身手罢了！！
String = 63301,我难楼是天下无敌的！！
String = 63302,本大爷今日不过使出一成力量而已！！
String = 63303,一下子就赢了，真不够味！！
String = 63304,哈哈！！胜利的滋味真是甜美！！
String = 63305,山寨主将 - 褚飞燕
String = 63306,活络一下筋骨，感觉还不错，哈哈！！
String = 63307,虎头寨可不是你等小辈可以入侵的！
String = 63308,今日大胜，真是爽快啊！！哈哈！
String = 63309,这种货色也敢挑战褚飞燕，真是好笑啊！！
String = 63310,不怕死的就再继续跟我褚飞燕挑战啊！我就在这里等你喔！
String = 63311,山寨主将 - 郭大贤
String = 63312,我郭大贤可不是这样就会被击败的！！
String = 63313,哈哈！果然是个说大话的角色罢了！！
String = 63314,没本事就别学人家逞英雄，哼！
String = 63315,要打倒我郭大贤，等下辈子吧！！
String = 63316,就这几招也想来挑战我郭大贤，找死！！
String = 63317,山寨主将 - 雷公
String = 63318,挑战翻江坞雷公的下场，就是这样！！
String = 63319,我雷公如果这样就落败，怎么能在这里称王！！
String = 63320,什么才是强者，现在应该知道了吧！！
String = 63321,爱吹嘘的人总是容易被戳破的！！呵呵！！
String = 63322,这次的胜利，会不会太容易了些！
String = 63323,山寨主将 - 李大目
String = 63324,今日大胜，实在是我天柱山寨的光荣啊！！
String = 63325,哈哈！不过就是这样而已，还有更厉害的吗？
String = 63326,我乃天柱山李大目，记住这个名字吧！！哈哈
String = 63327,胜利果然是属于我李大目的！！
String = 63328,有点胜之不武的感觉，真是不过瘾！！
String = 63329,山寨主将 - 区星
String = 63330,嘿嘿！今天杀得真痛快！！
String = 63331,本大爷又多了一个手下败将，不错不错！！
String = 63332,难道要遇到对手，是这么困难的事情吗？
String = 63333,想打倒我区星，还早的很！！
String = 63334,打倒你原来这般轻松，是我区星太高估你了！！
String = 63335,山寨主将 - 玲玲
String = 63336,哼！本姑娘的厉害总算看到了吧！！
String = 63337,嘿嘿，还有谁敢看本姑娘的功夫！！
String = 63338,败在本姑娘的手下，你也不是第一个了！
String = 63339,小看我玲玲，只是准备失败而已！
String = 63340,百花坞今日名声将可远播！！
String = 63341,山寨主将 - 兰兰
String = 63342,我兰兰可不是脓包能够打败的！！
String = 63343,要挑战本姑娘，好歹也看看自己的斤两够不够吧！
String = 63344,不过又是一个爱装厉害的笨蛋而已！！
String = 63345,获得这场胜利，本姑娘还真觉得没啥特别的！！
String = 63346,让人吃败仗可是我兰兰的看家本领啊！哈哈！！
String = 63347,山寨主将 - 昌豨
String = 63348,我昌豨不过只发挥千分之一的能力而已，这样就胜利，真是不过瘾！！
String = 63349,胜利只会在站在昌豨大爷身边的！！
String = 63350,俺是不败的！！
String = 63351,这次的胜利，会不会太容易了些！
String = 63352,都说了这只是自找死路，还真是想不开！！
String = 63353,山寨主将 - 管亥
String = 63354,知道我管亥的厉害了吧！
String = 63355,我管亥眼里从来只有胜利而已
String = 63356,我乃大兴山管亥是也，谁想挑战就是自找死路！！
String = 63357,嘿嘿，我管亥可不是好惹的！
String = 63358,好像太轻松，一点都不觉得得胜利了！
String = 63359,山寨主将 - 碧月
String = 63360,见识到本姑娘的高超本领了吧！！
String = 63361,想打败我碧月，那只是痴人说梦而已！！
String = 63362,本姑娘不早说了，挑战我碧月只是送死而已！
String = 63363,早叫你不要来惹本姑娘了！！
String = 63364,今日一战，真是痛快！！
String = 63365,山寨主将 - 雷绪
String = 63366,血蛟坞可不是庸人可以攻下的！！
String = 63367,找我雷绪挑战，真是够笨的！
String = 63368,愚蠢的人才自以为可以打倒本大爷！！
String = 63369,小试身手而能大获全胜，真爽！！
String = 63370,众将士们，喝酒吃肉庆功吧！！哈哈！
String = 63371,山寨主将 - 吐悉泥
String = 63372,看来我吐悉泥的能力又更上一层楼了！！
String = 63373,哈哈！来人啊！打胜仗之后要好好吃肉喝酒庆祝一下！
String = 63374,这等身手还敢来我吐悉泥面前献丑！哼！
String = 63375,呦～这就是你的能力吗？真是有够窝囊的！！
String = 63376,还想挑战的话，我吐悉泥绝对奉陪！！
String = 63377,山寨主将 - 塔郎
String = 63378,俺可是鼎鼎有名的百战百胜啊！！哈哈！！
String = 63379,今日得胜是我塔郎能力的证明！！
String = 63380,只会耍嘴皮子是不行的！！
String = 63381,今日真是杀得痛快啊，哈哈！！
String = 63382,大战得胜的滋味，爽快！！
String = 63383,山寨主将 - 申雄
String = 63384,小看我申雄的下场，就是如此而已！
String = 63385,最后的得胜永远是我申雄的！！
String = 63386,哈哈！等你羽毛长齐了，在跟我申雄挑战吧！
String = 63387,哈哈！！这么快就胜利！我申雄还没打过瘾啊！
String = 63388,枉费本大爷期待你的实力，真是浪费俺宝贵的时间！
String = 63389,山寨主将 - 管承
String = 63390,哈哈！！俺永远是站在胜利的一方！！
String = 63391,今日应该知道我管承是何等厉害了吧！
String = 63392,活该！早叫你不要打了，真是爱找死路！！
String = 63393,俺是不败的！！
String = 63394,要打败我管承，你还不够格咧！
String = 63395,山寨主将 - 洪达
String = 63396,你…..输了！！
String = 63397,要俺洪达失败，简直比登天还难！！
String = 63398, 看来是本大爷高估了你的实力！
String = 63399,来人啊！给我准备酒菜，老子庆贺得胜！！
String = 63400,两三下就解决，一点也不痛快！！
String = 63401,第10时期武将将 - 鬼王董卓 1209
String = 63402,哈哈哈！天下永远是属于我军的！！
String = 63403,我董卓是永不败的，到现在还不懂吗？
String = 63404,乱霸天下，惟我董卓！！
String = 63405,天下无敌者，是上只有我董卓一人！
String = 63406,我董卓连九泉地府都不收，凭你也想赢我？
String = 63407,第10时期武将将 - 闇-于氐根 1210
String = 63408,哈哈！！我军是无敌的！！
String = 63409,这就是我于氐根的实力！！
String = 63410,这年头自找死路的还真多啊！！
String = 63411,这种脓包，再多本大爷也不怕，哼！
String = 63412,我等定要让天下大乱！！
String = 63413,第10时期武将将 - 闇-难楼 1215
String = 63414,这次的胜利是我难楼的！！
String = 63415,还有想死的尽管送上门来！！
String = 63416,哈哈！！胜利的滋味真棒！！
String = 63417,哈哈！我军才是天下的王者！
String = 63418,要打败我难楼，你还早得很！
String = 63419,第10时期武将将 - 闇-褚飞燕 1220
String = 63420,胜利永远是站在本大爷这里的！！
String = 63421,我褚飞燕可是我军的猛将，无人可挡啦！！
String = 63422,哈哈！！胜利的滋味真棒！！
String = 63423,光会耍嘴皮子是不能打败俺的！！
String = 63424,臭小子，这等不中用的功夫，还敢浪费我褚飞燕的时间！！
String = 63425,第10时期武将将 - 闇-郭大贤 1225
String = 63426,想打败我郭大贤，你还不够格哩！！
String = 63427,在我的领导下，我军只有胜利而已！
String = 63428,我军得胜不过是命中注定的结果！！
String = 63429,我郭大贤是无敌的！！
String = 63430,这次败在俺郭大贤手下，你应该心服口服了吧！！
String = 63431,第10时期武将将 - 闇-雷公 1230
String = 63432,跟我雷公为敌的下场，就只有失败而已！！
String = 63433,我雷公是注定胜利的！！
String = 63434,不服从我军命令者，死！！
String = 63435,手下败将又多了一个，真爽快！
String = 63436,天命乃归我军！
String = 63437,第10时期武将将 - 闇-李大目 1235
String = 63438,我李大目今日得胜，绝非侥幸！
String = 63439,看来敌方将领不过如此而已，不足为惧！！
String = 63440,还有想死的尽管送上门来！！
String = 63441,胜利对我李大目来说，简直是家常便饭！！
String = 63442,不发挥点实力，还真是被人小看了！！
String = 63443,第10时期武将将 - 闇-区星 1240
String = 63444,想找死，也不用浪费我区星的时间跟精力吧！
String = 63445,哼！这样就获得胜利，真是无趣！
String = 63446,在俺区星眼里，没人是我的对手！！
String = 63447,哈哈！！我军是无敌的！！
String = 63448,难道没有势均力敌的对手吗？唉～
String = 63449,第10时期武将将 - 闇-玲玲 1245
String = 63450,小贼下次先秤秤斤两再来叫战不迟！
String = 63451,哈哈！！我军是无敌的！！
String = 63452,这下总该知道本姑娘不是好惹的吧！
String = 63453,女人也是可以上战场的！！
String = 63454,光会耍嘴皮子是不能打败我玲玲的！！
String = 63455,第10时期武将将 - 闇-兰兰 1250
String = 63456,在我领导下，我军战无不胜！！
String = 63457,女人作主的时代将由我兰兰开启！
String = 63458,还有想死的尽管送上门来！！
String = 63459,败在本姑娘的手下，也是一种荣幸，哈哈！！
String = 63460,小看我兰兰的下场，你应该记住了吧！
String = 63461,第10时期武将将 - 闇-昌豨 1255
String = 63462,俺昌豨从来没失败过，以前没有，以后也不会有！！
String = 63463,天命归属我军，我军战无不胜！！
String = 63464,你就好好到阴曹地府里想想怎么被我打败的吧！！哈哈！！
String = 63465,光会耍嘴皮子是不能打败俺昌豨的！！
String = 63466,俺昌豨要得胜，就一定会得胜！！
String = 63467,第10时期武将将 - 闇-管亥 1260
String = 63468,愚蠢小辈，找我管亥挑战就是吃败仗而已！！
String = 63469,天命归属我军，我军战无不胜！！
String = 63470,还有没有更强的啊，我还没打过瘾哩！！
String = 63471,哈哈！！我军是无敌的！！
String = 63472,看来我军一统天下的日子不远了！！
String = 63473,第10时期武将将 - 闇-碧月 1265
String = 63474,本姑娘想杀人时，没人阻挡的了！！
String = 63475,光会耍嘴皮子是不能打败本姑娘的！！
String = 63476,呦～还以为需要一番苦战，这样就结束啦？
String = 63477,哼！又是一个爱说大话的家伙！
String = 63478,难道没有势均力敌的对手吗？唉～
String = 63479,第10时期武将将 - 闇-雷绪 1270
String = 63480,今日之战足以证明俺雷绪才是真正的强者！！
String = 63481,胜利是属于有实力的人！！
String = 63482,本大爷筋骨都还没活动开，小贼竟落下马来了！
String = 63483,敌方的武将，都是这么容易可以击败吗？哈哈！
String = 63484,要挑战俺雷绪，好歹也稍微练过几年再来吧！
String = 63485,第10时期武将将 - 闇-吐悉泥 1275
String = 63486,我吐悉泥纵横沙场多年，可不是假的！！
String = 63487,果然，俺还是找不到可以匹敌的对手啊！
String = 63488,我军是不败的！！
String = 63489,哼！早预知如此结果，俺只是陪你玩玩的！
String = 63490,天命归属我军，当然是战无不胜！！
String = 63491,第10时期武将将 - 闇-塔郎 1280
String = 63492,也不打听打听，我塔郎可不是随便就可以应付的！！
String = 63493,我塔郎眼中，从来只有胜利而已！！
String = 63494,哈哈！又帮我军铲除一个敌手啦！
String = 63495,俺塔郎的胜利纪录又多了一个啦，哈哈！！
String = 63496,谁说胜败乃兵家常事，我塔郎就从没输过！！
String = 63497,第10时期武将将 - 闇-申雄 1285
String = 63498,要俺申雄被打败，除非天下红雨！！
String = 63499,哈哈！！我军是无敌的！！
String = 63500,申雄岂是你这般小将可以打倒的！！别痴人说梦了，哈哈！
String = 63501,我果然是战场常胜将军啊！哈哈！！
String = 63502,看来我军一统天下的日子不远了！！
String = 63503,第10时期武将将 - 闇-管承 1290
String = 63504,对于不服从我军的人，我管承从不手软！！
String = 63505,忤逆本大爷，难怪你等会吃败仗，哈哈！！
String = 63506,本大爷筋骨都还没活动开，小贼竟落下马来了！
String = 63507,原来你等实力不过如此，实在不足为惧！！
String = 63508,看你们落荒而逃的样子，真是过瘾极了！！
String = 63509,第10时期武将将 - 闇-洪达 1295
String = 63510,历经万险而得胜，是我洪达实力的证明！
String = 63511,你…..输了！！
String = 63512,我军兵强马壮，可不是你等虾兵蟹将就能对付的啦！！哈哈！
String = 63513,打败敌军，正是我最大的心愿！！
String = 63514,我军得胜不过是命中注定的结果！！
String = 63515,第10时期武将将 - 骆驼弯刀首领9 1211
String = 63516,还有想死的尽管送上门来！！
String = 63517,俺的武器还没杀够，谁都别想逃！！
String = 63518,难道没有势均力敌的对手吗？唉～
String = 63519,来人啊！！打道回府好好庆功吧！！
String = 63520,天命归属我军，我军战无不胜！！
String = 63521,第10时期武将将 - 骆驼弯刀首领10 1212
String = 63522,看来我军一统天下的日子不远了！！
String = 63523,我军是不败的！！
String = 63524,哈哈！！我军是无敌的！！
String = 63525,胜利永远不会离开本大爷的！！
String = 63526,不发挥点实力，还真是被人小看了！！
String = 63527,第10时期武将将 - 骆驼弯刀首领11 1213
String = 63528,哈哈哈哈！！大爷我现在心情好到飞上天啦！！
String = 63529,哼！又是一个爱说大话的家伙！
String = 63530,光会耍嘴皮子是不能打败本大爷的！！
String = 63531,这年头果然很多自以为是的败类，今日正好除之为快！
String = 63532,看来我军一统天下的日子不远了！！
String = 63533,第10时期武将将 - 骆驼弯刀首领12 1214
String = 63534,自取灭亡就是如此而已！
String = 63535,我军是不败的！！
String = 63536,天命乃归我军，我军战无不胜！！
String = 63537,哈哈！！我军是无敌的！！
String = 63538,逆天而为，难怪你等会吃败仗，哈哈！！
String = 63539,第10时期武将将 - 骆驼弯刀首领13 1216
String = 63540,小贼下次先秤秤斤两再来叫战不迟！
String = 63541,我军得胜不过是命中注定的结果！！
String = 63542,胜利的感觉，怎样都不厌倦啊！
String = 63543,看来我军一统天下的日子不远了！！
String = 63544,俺筋骨都还没活动开，小贼竟落下马来了！
String = 63545,第10时期武将将 - 骆驼弯刀首领14 1217
String = 63546,称霸乱世，惟我军而已！
String = 63547,还有想死的尽管送上门来！！
String = 63548,难道没有势均力敌的对手吗？唉～
String = 63549,看来我军一统天下的日子不远了！！
String = 63550,本大爷筋骨都还没活动开，小贼竟落下马来了！
String = 63551,第10时期武将将 - 骆驼弯刀首领15 1218
String = 63552,最后获胜的人才能微笑看着对方落荒而逃啊！！哈哈！
String = 63553,天命乃归我军，我军战无不胜！！
String = 63554,哈哈！！我军是无敌的！！
String = 63555,看来我军一统天下的日子不远了！！
String = 63556,胜利是属于有实力的人！！
String = 63557,第10时期武将将 - 骆驼弯刀首领16 1219
String = 63558,不发挥点实力，还真是被人小看了！！
String = 63559,打倒这种脓包蠢将，真是无趣！！
String = 63560,你…已经输了！！
String = 63561,哼！又是一个爱说大话的家伙！
String = 63562,哈哈！！我军是无敌的！！
String = 63563,第10时期武将将 - 恶棍头头9 1221
String = 63564,俺才要刚开始发挥实力，小贼就落败了，令人火大！！
String = 63565,我军得胜不过是命中注定的结果！！
String = 63566,逆天而为，难怪你等会吃败仗，哈哈！！
String = 63567,哈哈！！没想到这么快就获胜！！
String = 63568,在我军英明领导下，我军战无不胜！！
String = 63569,第10时期武将将 - 恶棍头头10 1222
String = 63570,难道没有势均力敌的对手吗？唉～
String = 63571,哼！又是一个爱说大话的家伙！
String = 63572,看来我军一统天下的日子不远了！！
String = 63573,还有想死的尽管送上门来！！
String = 63574,我军是不败的！！
String = 63575,第10时期武将将 - 蒙面大盗11 1223
String = 63576,看来俺的敌人都是只爱装腔作势的骗子啊！！
String = 63577,天命乃归我军，我军战无不胜！！
String = 63578,俺筋骨都还没活动开，小贼竟落下马来了！
String = 63579,胜利的感觉，怎样都不厌倦啊！
String = 63580,这场战役虽然伤亡不少，但终究获得最后的胜利！！
String = 63581,第10时期武将将 - 蒙面大盗12 1224
String = 63582,哈哈！！我军是无敌的！！
String = 63583,呵呵～这就是你小看本大爷的下场！！
String = 63584,你…已经输了！！
String = 63585,哼！！还以为你有多厉害！
String = 63586,不发挥点实力，还真是被人小看了！！
String = 63587,第10时期武将将 - 山贼头子19 1226
String = 63588,哈哈！！果然是个来闹场的小丑罢了！！
String = 63589,这样就输了，俺没看错吧！？
String = 63590,天命乃归我军，我军战无不胜！！
String = 63591,光会耍嘴皮子是不能打败本大爷的！！
String = 63592,小贼下次先秤秤斤两再来叫战不迟！
String = 63593,第10时期武将将 - 山贼头子20 1227
String = 63594,我军得胜不过是命中注定的结果！！
String = 63595, 这种时候看着笨蛋逃跑，真是一种乐趣！！
String = 63596,只有这点本事也来挑战，找死也不是这样吧！！
String = 63597,俺筋骨都还没活动开，小贼竟落下马来了！
String = 63598,多练个几百年再来吧！！
String = 63599,第10时期武将将 - 山贼头子21 1228
String = 63600,这等不中用的功夫，还敢浪费本大爷时间！！
String = 63601,哼！又是一个爱说大话的家伙！
String = 63602,哈哈！！我军是无敌的！！
String = 63603,毛还没长齐就想飞，找死啊！！
String = 63604,难道没有势均力敌的对手吗？唉～
String = 63605,第10时期武将将 - 山贼头子22 1229
String = 63606,逆我军之意，难怪你等会吃败仗，哈哈！！
String = 63607,小贼下次先秤秤斤两再来叫战不迟！
String = 63608,不发挥点实力，还真是被人小看了！！
String = 63609,哼！又是一个爱说大话的家伙！
String = 63610,我军是不败的！！
String = 63611,第10时期武将将 - 海贼杀手13 1231
String = 63612,俺筋骨都还没活动开，小贼竟落下马来了！
String = 63613,哼！又是一个爱说大话的家伙！
String = 63614,我军得胜不过是命中注定的结果！！
String = 63615,呵呵～这就是你小看本大爷的下场！！
String = 63616,天命乃归我军，我军战无不胜！！
String = 63617,第10时期武将将 - 海贼杀手14 1232
String = 63618,想不到连这种货色也可带兵作战，看来我军称霸之日不远了！！
String = 63619,你…已经输了！！
String = 63620,哼！！还以为你有多厉害！
String = 63621,哈哈！！我军是无敌的！！
String = 63622,嘿嘿！再多来几个这种对手，正好当俺的军队活肉靶吧！！
String = 63623,第10时期武将将 - 海贼杀手15 1233
String = 63624,只有这个时候，我才感觉到自己的存在！
String = 63625,胜利是属于有实力的人！！
String = 63626,还有想死的尽管送上门来！！
String = 63627,俺筋骨都还没活动开，小贼竟落下马来了！
String = 63628,呦～～刚刚不是叫嚣的很厉害吗？
String = 63629,第10时期武将将 - 海贼杀手16 1234
String = 63630,不发挥点实力，还真是被人小看了！！
String = 63631,多练个几百年再来吧！！
String = 63632,看来我军一统天下的日子不远了！！
String = 63633,我军是不败的！！
String = 63634,本大爷筋骨都还没活动开，小贼竟落下马来了！
String = 63635,第10时期武将将 - 山贼头子23 1236
String = 63636,来人啊！拿酒来！俺要好好欣赏这般小辈落荒而逃的景象！！
String = 63637,看来我军一统天下的日子不远了！！
String = 63638,自不量力，难怪你等会吃败仗，哈哈！！
String = 63639,光会耍嘴皮子是不能打败本大爷的！！
String = 63640,哼！！还以为你有多厉害！
String = 63641,第10时期武将将 - 山贼头子24 1237
String = 63642,俺筋骨都还没活动开，小贼竟落下马来了！
String = 63643,你们已经没人可以派来了吗？真失望！！
String = 63644,哼！又是一个爱说大话的家伙！
String = 63645,不发挥点实力，还真是被人小看了！！
String = 63646, 哈哈哈哈！我军果然是无人可挡的！！
String = 63647,第10时期武将将 - 山贼头子25 1238
String = 63648,小贼下次先秤秤斤两再来叫战不迟！
String = 63649,呵呵～这就是你小看本大爷的下场！！
String = 63650,胜利是属于有实力的人！！
String = 63651,我军得胜不过是命中注定的结果！！
String = 63652,只有这点本事也来挑战，找死也不是这样吧！！
String = 63653,第10时期武将将 - 山贼头子26 1239
String = 63654,看来俺的状况大好，是时候可以大展身手了！！
String = 63655,小子，毛还没长齐就想飞，找死啊！！
String = 63656,哈哈！！我军是无敌的！！
String = 63657,哼！又是一个爱说大话的家伙！
String = 63658,小贼不自量力，难怪你等会吃败仗，哈哈！！
String = 63659,第10时期武将将 - 海贼杀手17 1241
String = 63660,我军是不败的！！
String = 63661,不发挥点实力，还真是被人小看了！！
String = 63662,哼～老子不发威，你当我是病猫啊！！
String = 63663,难道没有势均力敌的对手吗？唉～
String = 63664,怎么老是这种对手，没别的高手吗？
String = 63665,第10时期武将将 - 海贼杀手18 1242
String = 63666,光会耍嘴皮子是不能打败本大爷的！！
String = 63667,哼！！还以为你有多厉害！
String = 63668, 哈哈哈哈！我军果然是无人可挡的！！
String = 63669,天下终归我军，我军战无不胜！！
String = 63670,多练个几百年再来吧！！
String = 63671,第10时期武将将 - 海贼头目4 1243
String = 63672,俺要拿胜利，从来没人敢跟我抢！！
String = 63673,我军得胜不过是命中注定的结果！！
String = 63674,俺早在一开始就知道，胜利的那一方一定是俺！！
String = 63675,看来我军一统天下的日子不远了！！
String = 63676,哼！！还以为你有多厉害！
String = 63677,第10时期武将将 - 海贼头目5 1244
String = 63678,逆天而为，难怪你等会吃败仗，哈哈！！
String = 63679,天下终归我军，我军战无不胜！！
String = 63680,我军是不败的！！
String = 63681,你…已经输了！！
String = 63682,呵呵～这就是你小看本大爷的下场！！
String = 63683,第10时期武将将 - 女贼首领8 1246
String = 63684,我军得胜不过是命中注定的结果！！
String = 63685,哼哼！知道本姑娘的厉害了吧！！
String = 63686,难道没有势均力敌的对手吗？唉～
String = 63687,多练个几百年再来吧！！
String = 63688,活得不耐烦的，尽管再来！！
String = 63689,第10时期武将将 - 女贼首领9 1247
String = 63690,记得帮本姑娘宣传一下，好让世人知道本姑娘的厉害！！
String = 63691,武艺不精，难怪你等会吃败仗，哈哈！！
String = 63692,本姑娘还没使出全力，要再来挑战一定奉陪！！
String = 63693,只有这点本事也来挑战，找死也不是这样吧！！
String = 63694,天下终归我军，我军战无不胜！！
String = 63695,第10时期武将将 - 女贼首领10 1248
String = 63696,我军是不败的！！
String = 63697,哼！又是一个爱说大话的家伙！
String = 63698,光会耍嘴皮子是不能打败本姑娘的！！
String = 63699,看来我军一统天下的日子不远了！！
String = 63700,小贼下次先秤秤斤两再来叫战不迟！
String = 63701,第10时期武将将 - 蒙面大盗13 1249
String = 63702,哈哈！打胜仗可是俺最差的本领啊！！
String = 63703,俺筋骨都还没活动开，小贼竟落下马来了！
String = 63704,光会耍嘴皮子是不能打败本大爷的！！
String = 63705,浪费俺的时间，却只有这点能力，真该死！！
String = 63706,哼！！还以为你有多厉害！
String = 63707,第10时期武将将 - 蒙面大盗14 1251
String = 63708,看来我军一统天下的日子不远了！！
String = 63709,吾主乃真命天子，趁早归降方为上策！！
String = 63710,不发挥点实力，还真是被人小看了！！
String = 63711,浪费俺一番功夫，竟然两三下就输了，真该死！！
String = 63712,我军是不败的！！
String = 63713,第10时期武将将 - 蒙面大盗15 1252
String = 63714,哼！！还以为你有多厉害！不过如此而已！！
String = 63715,江山终归我军，我军战无不胜！！
String = 63716,毛还没长齐就想飞，找死啊！！
String = 63717,哼！又是一个爱说大话的家伙！
String = 63718,我军得胜不过是命中注定的结果！！
String = 63719,第10时期武将将 - 女贼首领11 1253
String = 63720,光会耍嘴皮子是不能打败本姑娘的！！
String = 63721,本姑娘还没使出全力，要再来挑战一定奉陪！！
String = 63722,还有想死的尽管送上门来！！
String = 63723,来人啊，拿酒来！俺要好好欣赏这般蠢辈落荒而逃的景象！！
String = 63724,现在总该知道，发怒的女人可不是好惹的！！
String = 63725,第10时期武将将 - 女贼首领12 1254
String = 63726,天命乃归我军，我军战无不胜！！
String = 63727,哼！！还以为你有多厉害！
String = 63728,看来我军一统天下的日子不远了！！
String = 63729,呦～别逃得这么快啊！！
String = 63730,光会耍嘴皮子是不能打败本姑娘的！！
String = 63731,第10时期武将将 - 山贼头子27 1256
String = 63732,多练个几百年再来吧！！
String = 63733,天命乃归我军，我军战无不胜！！
String = 63734,呵呵～这就是你小看本大爷的下场！！
String = 63735,哈哈！！我军是无敌的！！
String = 63736,只有这点本事也来挑战，找死也不用这样吧！！
String = 63737,第10时期武将将 - 山贼头子28 1257
String = 63738,还想被俺送上黄泉路的，尽管过来吧！！
String = 63739,不发挥点实力，还真是被人小看了！！
String = 63740,我军在吾王庇佑之下，果然百战百胜！！
String = 63741,难道没有势均力敌的对手吗？唉～
String = 63742, 哈哈哈哈！我军果然是无人可挡的！！
String = 63743,第10时期武将将 - 山贼头子29 1258
String = 63744,哈哈！想要当我军的敌人，你还不够格哩！
String = 63745,看来我军一统天下的日子不远了！！
String = 63746,我军得胜不过是命中注定的结果！！
String = 63747,毛还没长齐就想飞，找死啊！！
String = 63748,我军是不败的！！
String = 63749,第10时期武将将 - 山贼头子30 1259
String = 63750,活腻啦！这种实力也敢来战！！
String = 63751,哈哈！我军是无敌的！！
String = 63752,小贼下次先秤秤斤两再来叫战不迟！
String = 63753,我军有天命归属，我军战无不胜！！
String = 63754,这场仗真是不痛不痒，一点乐趣都没有！
String = 63755,第10时期武将将 - 恶棍头头11 1261
String = 63756,哼！又是一个爱说大话的家伙！
String = 63757,多练个几百年再来吧！！
String = 63758,看来我军一统天下的日子不远了！！
String = 63759,俺筋骨都还没活动开，小贼竟落下马来了！
String = 63760,来一个我杀一个，来两个我杀一双！！
String = 63761,第10时期武将将 - 蒙面大盗16 1262
String = 63762,呵呵～这就是你小看本大爷的下场！！
String = 63763,光会耍嘴皮子是不能打败本大爷的！！
String = 63764, 哈哈哈哈！我军果然是无人可挡的！！
String = 63765,小贼下次先秤秤斤两再来叫战不迟！
String = 63766,不服我军，难怪你等会吃败仗，哈哈！！
String = 63767,第10时期武将将 - 恶棍头头12 1263
String = 63768,哈哈！！我军是无敌的！！
String = 63769,勇气可嘉，不过也得看看自己有没有实力！
String = 63770,胜利是属于有实力的人！！
String = 63771,俺筋骨都还没活动开，小贼竟落下马来了！
String = 63772,哼！这种轻易获得的胜利，俺才不在乎！！
String = 63773,第10时期武将将 - 蒙面大盗17 1264
String = 63774,呵呵～这就是你小看本大爷的下场！！
String = 63775,哼！！还以为你有多厉害！
String = 63776,不发挥点实力，还真是被人小看了！！
String = 63777,我军是不败的！！
String = 63778,江山终归我军，我军战无不胜！！
String = 63779,第10时期武将将 - 蒙面大盗18 1266
String = 63780,只有这点本事也来挑战，找死也不是这样吧！！
String = 63781,你…已经输了！！
String = 63782,我军得胜不过是命中注定的结果！！
String = 63783,欢迎再次挑战啊！下次我就不会这么客气了！！
String = 63784,哼！又是一个爱说大话的家伙！
String = 63785,第10时期武将将 - 蒙面大盗19 1267
String = 63786,小贼下次先秤秤斤两再来叫战不迟！
String = 63787,看来我军一统天下的日子不远了！！
String = 63788,还有想死的尽管送上门来！！
String = 63789,我军不是你等小辈可以对抗的！！
String = 63790,胜利是属于有实力的人！！
String = 63791,第10时期武将将 - 女贼首领13 1268
String = 63792,看来我军一统天下的日子不远了！！
String = 63793,哈哈！！我军是无敌的！！
String = 63794,难道没有势均力敌的对手吗？唉～
String = 63795,来一个我杀一个，来两个我杀一双！！
String = 63796,现在应该知道，本姑娘是何等人物了吧，哈哈！！
String = 63797,第10时期武将将 - 女贼首领14 1269
String = 63798,多练个几百年再来吧！！
String = 63799,胜利是属于有实力的人！！
String = 63800,天命终归我军，我军战无不胜！！
String = 63801,你们已经没人可以派来了吗？真失望！！
String = 63802,光会耍嘴皮子是不能打败本姑娘的！！
String = 63803,第10时期武将将 - 海贼杀手19 1271
String = 63804, 哈哈哈哈！我军果然是无人可挡的！！
String = 63805,只有这点本事也来挑战，找死也不是这样吧！！
String = 63806,看来我军一统天下的日子不远了！！
String = 63807,不发挥点实力，还真是被人小看了！！
String = 63808,来人啊，拿酒来！俺要好好欣赏这般蠢辈落荒而逃的景象！！
String = 63809,第10时期武将将 - 海贼杀手20 1272
String = 63810,事实摆在眼前，俺果然是无敌的！！
String = 63811,我军是不败的！！
String = 63812,天命归属我军，我军战无不胜！！
String = 63813,毛还没长齐就想飞，找死啊！！
String = 63814,光会耍嘴皮子是不能打败本大爷的！！
String = 63815,第10时期武将将 - 海贼杀手21 1273
String = 63816,你…已经输了！！
String = 63817,你们已经没人可以派来了吗？真失望！！
String = 63818,哈哈！！我军是无敌的！！
String = 63819,来一个我杀一个，来两个我杀一双！！
String = 63820,哼！这种轻易获得的胜利，俺才不在乎！！
